Title,Year,Rating
John Wick: Chapter 4,2023,8.4
Everything Everywhere All at Once,2022,7.9
The Whale,2022,7.8
The Banshees of Inisherin,2022,7.7
Puss in Boots: The Last Wish,2022,7.9
Im Westen nichts Neues,2022,7.8
Avatar: The Way of Water,2022,7.8
Top Gun: Maverick,2022,8.3
The Fabelmans,2022,7.6
The Godfather,1972,9.2
RRR (Rise Roar Revolt),2022,7.9
Aftersun,II) (2022,7.7
The Batman,2022,7.8
The Shawshank Redemption,1994,9.3
Interstellar,2014,8.6
Pulp Fiction,1994,8.9
Once Upon a Time in... Hollywood,2019,7.6
Harry Potter and the Sorcerer's Stone,2001,7.6
The Help,2011,8.1
GoodFellas,1990,8.7
The Goonies,1985,7.7
Titanic,1997,7.9
Good Will Hunting,1997,8.3
The Dark Knight,2008,9.0
The Gentlemen,2019,7.8
The Wolf of Wall Street,2013,8.2
Dune: Part One,2021,8.0
Fight Club,1999,8.8
Gisaengchung,2019,8.5
Inception,2010,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
Knives Out,2019,7.9
Spider-Man: No Way Home,2021,8.2
Rocky,1976,8.1
Tombstone,1993,7.8
The Departed,2006,8.5
Blade Runner 2049,2017,8.0
Inglourious Basterds,2009,8.3
Avengers: Endgame,2019,8.4
The Matrix,1999,8.7
American Psycho,2000,7.6
Forrest Gump,1994,8.8
Avatar,2009,7.9
To Kill a Mockingbird,1962,8.3
Gladiator,2000,8.5
Schindler's List,1993,9.0
Jurassic Park,1993,8.2
The Godfather Part II,1974,9.0
Black Swan,2010,8.0
Whiplash,2014,8.5
Joker,I) (2019,8.4
Django Unchained,2012,8.4
Requiem for a Dream,2000,8.3
The Prestige,2006,8.5
The Silence of the Lambs,1991,8.6
One Flew Over the Cuckoo's Nest,1975,8.7
Vertigo,1958,8.3
Prisoners,2013,8.1
Heat,1995,8.3
Taxi Driver,1976,8.2
Se7en,1995,8.6
12 Angry Men,1957,9.0
Raiders of the Lost Ark,1981,8.4
Zack Snyder's Justice League,2021,8.0
Mad Max: Fury Road,2015,8.1
The Breakfast Club,1985,7.8
Get Out,I) (2017,7.7
The Lord of the Rings: The Return of the King,2003,9.0
The Hangover,2009,7.7
Pride & Prejudice,2005,7.8
American Beauty,1999,8.4
